iter	RMSE
173	7.20227786
174	7.186232649
175	7.169507195
176	7.152282122
177	7.137244988
178	7.122543887
179	7.107367948
180	7.094293071
181	7.078046753
182	7.064954048
183	7.05413161
184	7.038587162
185	7.022572533
186	7.007237072
187	6.992804682
188	6.979991961
189	6.964541013
190	6.950231917
191	6.936302175
192	6.923487858
193	6.910912391
194	6.898001826
195	6.886466754
196	6.874814525
197	6.863639495
198	6.853378549
199	6.841510994
200	6.830319469
201	6.817688401
202	6.805152452
203	6.795233542
204	6.78378354
205	6.774434162
206	6.762447546
207	6.749720434
208	6.739186328
209	6.727329601
210	6.717266157
211	6.706499699
212	6.696732179
213	6.687433338
214	6.675809708
215	6.664739374
216	6.653133593
217	6.64333727
218	6.635567703
219	6.626706244
220	6.61653365
221	6.605389159
222	6.596710387
223	6.587337707
224	6.577721756
225	6.567552052
226	6.557582803
227	6.548342448
228	6.539442847
229	6.530514217
230	6.521203506
231	6.513266962
232	6.504939582
233	6.498210973
234	6.488416745
235	6.48161226
236	6.472050571
237	6.463963645
238	6.455930322
239	6.449130615
240	6.442030037
241	6.433232531
242	6.426992101
243	6.420140713
244	6.412321914
245	6.405897533
246	6.399288422
247	6.391317395
248	6.384788615
249	6.377067276
250	6.369063761
251	6.362217555
252	6.355620504
253	6.347702575
254	6.34060547
255	6.333466881
256	6.326915525
257	6.320046313
258	6.314155987
259	6.30832929
260	6.301394142
261	6.294400582
262	6.288675505
263	6.284522088
264	6.278502597
265	6.272946741
266	6.267267015
267	6.261536
268	6.25660438
269	6.253000068
270	6.248498974
271	6.243315067
272	6.238845267
273	6.231797483
274	6.226081104
275	6.220035755
276	6.213863969
277	6.207820878
278	6.20338675
279	6.198480188
280	6.193167065
281	6.187431331
282	6.180600286
283	6.175810583
284	6.169478767
285	6.163728751
286	6.159095473
287	6.155637598
288	6.149885053
289	6.145862171
290	6.140788421
291	6.136624322
292	6.13066387
293	6.125932127
294	6.122448109
295	6.116741257
296	6.113458746
297	6.108484335
298	6.103965205
299	6.098855818
300	6.092885489
301	6.087540801
302	6.082874851
303	6.078178433
304	6.073918554
305	6.067528555
306	6.062118023
307	6.057391827
308	6.053692276
309	6.050764001
310	6.045520811
311	6.040630991
312	6.036207781
313	6.031859974
314	6.027065512
315	6.023859359
316	6.02041776
317	6.016478981
318	6.01180828
319	6.007919456
320	6.004440598
321	5.999422558
322	5.994618413
323	5.991830423
324	5.987373603
325	5.983568382
326	5.979724459
327	5.977602689
328	5.974187234
329	5.970678545
330	5.967517727
331	5.962920961
332	5.958559184
333	5.955702935
334	5.9517812
335	5.94864013
336	5.944876854
337	5.940960558
338	5.938677932
339	5.935955822
340	5.933486883
341	5.930312398
342	5.927644176
343	5.924613728
344	5.921915011
345	5.918102545
346	5.914101549
347	5.909628066
348	5.905855518
349	5.903304575
350	5.899226363
351	5.895322072
352	5.892657186
353	5.889228257
354	5.885576546
355	5.882371135
356	5.878976495
357	5.875103137
358	5.872522326
359	5.86950334
360	5.865667703
361	5.862950259
362	5.860082265
363	5.857554135
364	5.85571661
365	5.852833064
366	5.851263316
367	5.849534489
368	5.846013695
369	5.843117837
370	5.840444865
371	5.838055894
372	5.83575827
373	5.833193268
374	5.831094949
375	5.828161836
376	5.824971897
377	5.821630129
378	5.819229911
379	5.817009287
380	5.814914384
381	5.812762112
382	5.810235891
383	5.808179676
384	5.80571492
385	5.804239213
386	5.802383139
387	5.799968602
388	5.797214847
389	5.794787333
390	5.792680181
391	5.790577542
392	5.787722971
393	5.784760855
394	5.782439333
395	5.780040189
396	5.777721736
397	5.775509949
398	5.772907645
399	5.770212831
400	5.767552515
401	5.765835368
402	5.76365559
403	5.761089457
404	5.759323042
405	5.757410066
406	5.755498156
407	5.752515521
408	5.750197237
409	5.74788156
410	5.746280199
411	5.744391522
412	5.743300477
413	5.741470936
414	5.740022937
415	5.736795381
416	5.734884681
417	5.732955823
418	5.730978052
419	5.729236249
420	5.727627037
421	5.725213188
422	5.723381328
423	5.721882231
424	5.720417765
425	5.717966397
426	5.716227233
427	5.715035633
428	5.712274466
429	5.710963417
430	5.709363592
431	5.707268831
432	5.70579334
433	5.704601027
434	5.703135568
435	5.70087855
436	5.698781913
437	5.697313611
438	5.695714603
439	5.693463902
440	5.691905049
441	5.689426779
442	5.688078458
443	5.686456094
444	5.684775358
445	5.682480263
446	5.681345996
447	5.680339614
448	5.678584345
449	5.676954506
450	5.675524161
451	5.673695513
452	5.672253061
453	5.670865391
454	5.669841868
455	5.668309693
456	5.666126337
457	5.66453742
458	5.66276407
459	5.660636282
460	5.659967369
461	5.65885105
462	5.657246479
463	5.654577728
464	5.652981808
465	5.651404419
466	5.65005032
467	5.64884228
468	5.64690682
469	5.645421675
470	5.644488241
471	5.643134347
472	5.641809055
473	5.641132626
474	5.639814337
475	5.638759023
476	5.636973123
477	5.635492142
478	5.634267827
479	5.632985601
480	5.632083927
481	5.630614532
482	5.629099383
483	5.62754788
484	5.626043244
485	5.624229831
486	5.622804218
487	5.621864009
488	5.621090318
489	5.619541646
490	5.6183831
491	5.616593138
492	5.615671062
493	5.614392421
494	5.613331762
495	5.612354261
496	5.610807676
497	5.609700098
498	5.608753432
499	5.606691865
500	5.605717583
501	5.604247622
502	5.602697729
503	5.601363497
504	5.60059531
505	5.599615444
506	5.598352197
507	5.597470815
508	5.596492331
509	5.594422937
510	5.593615924
511	5.592289055
512	5.591794812
513	5.590230797
514	5.589240029
515	5.588592697
516	5.587204875
517	5.586592805
518	5.585576796
519	5.584519854
520	5.583719793
521	5.582660547
522	5.582169756
523	5.580674421
524	5.579855741
525	5.579080471
526	5.57830433
527	5.576999568
528	5.575734585
529	5.574618704
530	5.573549395
531	5.572438381
532	5.571945451
533	5.570775328
534	5.569699748
535	5.569135784
536	5.567589008
537	5.566705605
538	5.56538466
539	5.564633291
540	5.563519874
541	5.562425438
542	5.561168052
543	5.559526789
544	5.558866635
545	5.558004066
546	5.55752795
547	5.556620285
548	5.55561427
549	5.554790181
550	5.554074734
551	5.552835866
552	5.552084684
553	5.551353202
554	5.550927044
555	5.550289677
556	5.549234119
557	5.548050113
558	5.546914092
559	5.545205667
560	5.543979069
561	5.543077024
562	5.542160878
563	5.541553449
564	5.540342233
565	5.539403732
566	5.538703047
567	5.537998425
568	5.53709195
569	5.536002731
570	5.535023395
571	5.53439337
572	5.533679726
573	5.533302497
574	5.532426444
575	5.531695387
576	5.530725959
577	5.529735733
578	5.52870241
579	5.527978262
580	5.527383231
581	5.526473566
582	5.52546646
583	5.52477601
584	5.524138205
585	5.523228269
586	5.522420141
587	5.521750676
588	5.520939255
589	5.519910818
590	5.518914808
591	5.51842111
592	5.51770859
593	5.516605112
594	5.51554889
595	5.514576764
596	5.512934518
597	5.511959821
598	5.510481521
599	5.509550176
600	5.508741845
601	5.508010631
602	5.507529392
603	5.506874985
604	5.505928406
605	5.504701484
606	5.50387957
607	5.503172543
608	5.502305593
609	5.501655682
610	5.500762312
611	5.500008067
612	5.498738982
613	5.497945512
614	5.497311552
615	5.496509495
616	5.495673526
617	5.494439469
618	5.493810173
619	5.492743497
620	5.491938167
621	5.491211903
622	5.490614473
623	5.48982338
624	5.48915942
625	5.488405849
626	5.487499034
627	5.486321171
628	5.48559711
629	5.484930507
630	5.48453659
631	5.483836801
632	5.482853684
633	5.482324948
634	5.480709185
635	5.479684633
636	5.479025332
637	5.478002173
638	5.477272533
639	5.476386648
640	5.47549412
641	5.47435755
642	5.473543463
643	5.472541462
644	5.471680665
645	5.470370182
646	5.468844686
647	5.467655149
648	5.466917714
649	5.466594328
650	5.466065222
651	5.464845811
652	5.463870462
653	5.462790598
654	5.462114936
655	5.461373932
656	5.460800591
657	5.460070906
658	5.459372729
659	5.458822617
660	5.458059407
661	5.456885896
662	5.456174449
663	5.455677303
664	5.45523007
665	5.454454492
666	5.453407929
667	5.452362814
668	5.451567117
669	5.451142613
670	5.450668464
671	5.450133712
672	5.449586657
673	5.448478647
674	5.447232613
675	5.446784787
676	5.446157056
677	5.445380964
678	5.44507698
679	5.44451512
680	5.443984121
681	5.443130339
682	5.441748721
683	5.440439158
684	5.439765629
685	5.438765146
686	5.437945608
687	5.437268359
688	5.436751609
689	5.436210866
690	5.435748819
691	5.434983963
692	5.43453283
693	5.433824794
694	5.432909377
695	5.43232972
696	5.431840949
697	5.431211909
698	5.430644834
699	5.42978364
700	5.429236215
701	5.428367191
702	5.428194741
703	5.427660922
704	5.427023436
705	5.426631469
706	5.42589653
707	5.425205788
708	5.424765689
709	5.424167611
710	5.423427067
711	5.42283017
712	5.422294065
713	5.42165325
714	5.4208794
715	5.419853522
716	5.419092516
717	5.418742363
718	5.417925622
719	5.416523279
720	5.415836135
721	5.415161635
722	5.414465293
723	5.413521595
724	5.412943657
725	5.412456977
726	5.411843973
727	5.411130796
728	5.41041502
729	5.409524895
730	5.408919337
731	5.408431804
732	5.408056074
733	5.407503044
734	5.406121717
735	5.405053088
736	5.403997931
737	5.402901324
738	5.402274031
739	5.401559779
740	5.400588691
741	5.399767085
742	5.398675163
743	5.39759674
744	5.396964403
745	5.396360906
746	5.395922755
747	5.395679399
748	5.394810072
749	5.393917579
750	5.393202013
751	5.392406796
752	5.391342949
753	5.390884662
754	5.390196897
755	5.389589694
756	5.388874307
757	5.388312303
758	5.387796108
759	5.386714685
760	5.386199269
761	5.385918978
762	5.385604076
763	5.385070225
764	5.383815073
765	5.383065435
766	5.382640271
767	5.382108512
768	5.381550039
769	5.381149056
770	5.380073541
771	5.37942877
772	5.378967022
773	5.378148668
774	5.377394909
775	5.376800861
776	5.376250057
777	5.375399973
778	5.374729959
779	5.374233233
780	5.373656199
781	5.37314613
782	5.372547116
783	5.37125124
784	5.370162863
785	5.369353043
786	5.368488563
787	5.367356905
788	5.366563694
789	5.365954794
790	5.365179013
791	5.364051288
792	5.363611844
793	5.362987251
794	5.362065149
795	5.361724546
796	5.361316139
797	5.360472873
798	5.359955603
799	5.359243942
800	5.358915251
801	5.358365658
802	5.357785769
803	5.356700959
804	5.356066604
805	5.355716428
806	5.355658742
807	5.354530636
808	5.353790467
809	5.35354024
810	5.352826432
811	5.352115021
812	5.351580319
813	5.350894532
814	5.350505404
815	5.350164425
816	5.349396807
817	5.349018466
818	5.348332342
819	5.34704635
820	5.346095483
821	5.345167867
822	5.344352723
823	5.342965559
824	5.342431534
825	5.34191474
826	5.34127301
827	5.340421422
828	5.339253612
829	5.338452544
830	5.337825822
831	5.337355964
832	5.33690896
833	5.336051859
834	5.335605268
835	5.335226808
836	5.334751981
837	5.334208557
838	5.333182479
839	5.332073978
840	5.331357497
841	5.330877597
842	5.330048295
843	5.329265393
844	5.328556937
845	5.328115062
846	5.327577019
847	5.32664224
848	5.325719411
849	5.325060654
850	5.324266959
851	5.323794695
852	5.323214626
853	5.322456751
854	5.321229322
855	5.320664929
856	5.320408903
857	5.319205208
858	5.318658274
859	5.318034923
860	5.317570886
861	5.316090499
862	5.315588388
863	5.315182575
864	5.314655347
865	5.3141078
866	5.313525857
867	5.313063159
868	5.312587367
869	5.311853313
870	5.311369167
871	5.310892673
872	5.310447793
873	5.310132136
874	5.309597451
875	5.309090277
876	5.308597857
877	5.307660454
878	5.30724715
879	5.306260261
880	5.305729651
881	5.305223359
882	5.304746825
883	5.304012782
884	5.303093025
885	5.302456926
886	5.30177172
887	5.300881608
888	5.299624704
889	5.299446314
890	5.298924321
891	5.298462918
892	5.297762723
893	5.297246503
894	5.296774779
895	5.295732695
896	5.295432394
897	5.294948168
898	5.294483052
899	5.293595371
900	5.293151984
901	5.292467884
902	5.291988273
903	5.290947669
904	5.289868016
905	5.288605447
906	5.288025354
907	5.287553522
908	5.286350642
909	5.285041453
910	5.284251855
911	5.283269072
912	5.282829495
913	5.282623938
914	5.281732616
915	5.280708682
916	5.280342287
917	5.279860196
918	5.279288885
919	5.27823454
920	5.277937557
921	5.277143523
922	5.276479896
923	5.276028135
924	5.275527154
925	5.274928074
926	5.274434558
927	5.273608853
928	5.273115555
929	5.272504062
930	5.271867924
931	5.271228217
932	5.270734802
933	5.2704469
934	5.269701724
935	5.269328643
936	5.26871468
937	5.26801529
938	5.2672632
939	5.266839528
940	5.266531726
941	5.26606688
942	5.265164952
943	5.264707299
944	5.26411626
945	5.263102984
946	5.262684434
947	5.26177604
948	5.261362132
949	5.260365846
950	5.259752867
951	5.259198117
952	5.258686814
953	5.257426853
954	5.25706776
955	5.256780847
956	5.256382451
957	5.255940142
958	5.255334297
959	5.254894356
960	5.254321021
961	5.253776456
962	5.253261429
963	5.252827015
964	5.252369071
965	5.251838569
966	5.251267015
967	5.250857354
968	5.25013027
969	5.249854103
970	5.249563808
971	5.249185745
972	5.248154521
973	5.246944627
974	5.246460688
975	5.24601653
976	5.245192898
977	5.244772924
978	5.244005784
979	5.242821217
980	5.242095888
981	5.24135403
982	5.241092532
983	5.240452085
984	5.23946159
985	5.238550778
986	5.237837739
987	5.23742906
988	5.236933076
989	5.236371039
990	5.235642251
991	5.23512312
992	5.234414167
993	5.233902668
994	5.233278224
995	5.232680587
996	5.232320472
997	5.231869374
998	5.231207717
999	5.230510718
